English Title,Tagalog Title,Meaning,Chapter No.,Chapter Title,Characters,Text Excerpt
Hospitality,Pagmapagpatuloy,Pagkamapagpatuloy sa Noli Me Tángere ay sumasalamin sa kolonyal na pagpapahalaga ng mga Pilipino at sa pagnanais na makilala sa lipunan.,29,Ang Araw ng Pista,unspecified,Pagkamapagpatuloy sa Noli Me Tángere ay sumasalamin sa kolonyal na pagpapahalaga ng mga Pilipino at sa pagnanais na makilala sa lipunan.
Hospitality,Pagmapagpatuloy,"Ipinagdiriwang ni Kapitan Tiyago ang pagbabalik ni Crisostomo Ibarra sa pamamagitan ng isang marangyang salu-salo, kung saan inimbitahan ang mga prayle, opisyal na Kastila, at mga tanyag na panauhin.",37,Ang Kapitan Heneral,"Kapitan Tiyago, Crisostomo Ibarra","Ipinagdiriwang ni Kapitan Tiyago ang pagbabalik ni Crisostomo Ibarra sa pamamagitan ng isang marangyang salu-salo, kung saan inimbitahan ang mga prayle, opisyal na Kastila, at mga tanyag na panauhin."
Hospitality,Pagmapagpatuloy,Ang kabutihang ito ay isang kalkuladong hakbang upang mapanatili ang kanyang reputasyon bilang debotong Katoliko at makaangat sa ilalim ng pamahalaang Kastila.,54,Walang Lihim ang Hindi Nabubunyag,unspecified,Ang kabutihang ito ay isang kalkuladong hakbang upang mapanatili ang kanyang reputasyon bilang debotong Katoliko at makaangat sa ilalim ng pamahalaang Kastila.
Hospitality,Pagmapagpatuloy,"Ipinapakita ng pagkain, musika, at kasayahan ang init ng kulturang Pilipino.",32,Ang Paghugos,unspecified,"Ipinapakita ng pagkain, musika, at kasayahan ang init ng kulturang Pilipino."
Hospitality,Pagmapagpatuloy,Ngunit nalalantad din ang pag-akyat sa lipunan at pakitang-tao.,14,Tasyo: Baliw o Pilosopo?,unspecified,Ngunit nalalantad din ang pag-akyat sa lipunan at pakitang-tao.
Hospitality,Pagmapagpatuloy,Ikinumpara ni Rizal ang tunay na pakikipagkapwa sa pagkasira nito dahil sa kolonyal na kaisipan.,12,Ang Araw ng mga Patay,Rizal,Ikinumpara ni Rizal ang tunay na pakikipagkapwa sa pagkasira nito dahil sa kolonyal na kaisipan.
Hospitality,Pagmapagpatuloy,"Maging ang kabutihan ay nagiging kasangkapan para sa kapangyarihan, prestihiyo, at kaligtasan.",2,Crisostomo Ibarra,unspecified,"Maging ang kabutihan ay nagiging kasangkapan para sa kapangyarihan, prestihiyo, at kaligtasan."
Religion,Relihiyon,Ipinapakita ng Noli Me Tángere ang kontrast sa pagitan ng tunay na pananampalataya at ng katiwalian ng kaparian.,1,Ang Pagtitipon,unspecified,Ipinapakita ng Noli Me Tángere ang kontrast sa pagitan ng tunay na pananampalataya at ng katiwalian ng kaparian.
Religion,Relihiyon,"Ang Katolisismo ang nangingibabaw sa lipunan, ngunit ginagamit nina Padre Dámaso at Padre Salví ang relihiyon para sa sariling kapangyarihan.",50,Mga Kamag-anak ni Elias,"Padre Dámaso, Padre Salví","Ang Katolisismo ang nangingibabaw sa lipunan, ngunit ginagamit nina Padre Dámaso at Padre Salví ang relihiyon para sa sariling kapangyarihan."
Religion,Relihiyon,"Nagkukunwaring deboto si Kapitan Tiyago, nagbabayad ng iba para ipagdasal siya, at lumalapit pa sa pamahiin.",27,Sa Pagtatakipsilim,Kapitan Tiyago,"Nagkukunwaring deboto si Kapitan Tiyago, nagbabayad ng iba para ipagdasal siya, at lumalapit pa sa pamahiin."
Religion,Relihiyon,"Nananatili ang wagas na pananampalataya kina Elías, na nagtitiwala sa Diyos ngunit tumatanggi sa pagkukunwari ng pari.",2,Crisostomo Ibarra,Elías,"Nananatili ang wagas na pananampalataya kina Elías, na nagtitiwala sa Diyos ngunit tumatanggi sa pagkukunwari ng pari."
Religion,Relihiyon,"Nananatili ang wagas na pananampalataya kina Don Rafael, na tumutol sa kumpisal dahil sa prinsipyo.",15,Ang mga Sakristan,Don Rafael,"Nananatili ang wagas na pananampalataya kina Don Rafael, na tumutol sa kumpisal dahil sa prinsipyo."
Religion,Relihiyon,Ang relihiyon ay naipapakita bilang ilaw ng katotohanan at kasangkapan ng kontrol.,50,Mga Kamag-anak ni Elias,unspecified,Ang relihiyon ay naipapakita bilang ilaw ng katotohanan at kasangkapan ng kontrol.
Religion,Relihiyon,"Ginamit din ni Rizal ang mga simbolo tulad ng gabi at bukang-liwayway upang ilarawan ang pananampalataya, pagkukunwari, at pakikibaka ng katotohanan laban sa kasinungalingan.",31,Ang Sermon,Rizal,"Ginamit din ni Rizal ang mga simbolo tulad ng gabi at bukang-liwayway upang ilarawan ang pananampalataya, pagkukunwari, at pakikibaka ng katotohanan laban sa kasinungalingan."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,Ang tunggalian ng simbahan at pamahalaan ang bumubuo sa maraming sigalot.,59,Pagmamahal sa Bayan,unspecified,Ang tunggalian ng simbahan at pamahalaan ang bumubuo sa maraming sigalot.
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Naglalaban sina Padre Salví at ang alperes sa kapangyarihan, gumagawa ng mga patakarang pumipinsala sa karaniwang tao tulad ng curfew na nakaapekto sa mga sakristan.",1,Ang Pagtitipon,Padre Salví,"Naglalaban sina Padre Salví at ang alperes sa kapangyarihan, gumagawa ng mga patakarang pumipinsala sa karaniwang tao tulad ng curfew na nakaapekto sa mga sakristan."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Laganap ang pang-aabuso: si Don Rafael Ibarra ay maling inakusahan bilang erehe, ikinulong, at ipinagkait ng Kristiyanong libing.",4,Erehe at Pilibustero,Don Rafael Ibarra,"Laganap ang pang-aabuso: si Don Rafael Ibarra ay maling inakusahan bilang erehe, ikinulong, at ipinagkait ng Kristiyanong libing."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,Si Crisostomo ay ipinatapon at ipinagkanulo dahil sa galit ni Padre Dámaso.,6,Kapitan Tiago,"Crisostomo, Padre Dámaso",Si Crisostomo ay ipinatapon at ipinagkanulo dahil sa galit ni Padre Dámaso.
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Ang mga walang kapangyarihan—tulad nina Sisa, Crispin, at Basilio—ang higit na nagdurusa.",16,Si Sisa,"Sisa, Crispin, Basilio","Ang mga walang kapangyarihan—tulad nina Sisa, Crispin, at Basilio—ang higit na nagdurusa."
Power and Injustice,Kapangyarihan at Kawalang-Katarungan,"Ipinakita ni Rizal kung paano dinudurog ng katiwalian, paninira, at awtoridad ang karaniwang Pilipino, habang ang mga makapangyarihan ay pinoprotektahan ang sarili sa kapinsalaan ng katarungan.",23,Ang Piknik,Rizal,"Ipinakita ni Rizal kung paano dinudurog ng katiwalian, paninira, at awtoridad ang karaniwang Pilipino, habang ang mga makapangyarihan ay pinoprotektahan ang sarili sa kapinsalaan ng katarungan."
Education,Edukasyon,Ang edukasyon ay ipinakita bilang susi sa progreso ngunit kontrolado ng mga kolonyal.,61,Ang Habulan sa Lawa,unspecified,Ang edukasyon ay ipinakita bilang susi sa progreso ngunit kontrolado ng mga kolonyal.
Education,Edukasyon,Ang edukasyong Europeo ni Ibarra ang nagbigay sa kanya ng bisyon na magpatayo ng makabagong paaralan para sa kabataang Pilipino.,24,Sa Kagubatan,Crisostomo Ibarra,Ang edukasyong Europeo ni Ibarra ang nagbigay sa kanya ng bisyon na magpatayo ng makabagong paaralan para sa kabataang Pilipino.
Education,Edukasyon,Ngunit hinarang ng simbahan ang tunay na kaalaman: ipinagbawal ang mga Pilipino na mag-aral ng Kastila at iniukol lamang ito sa mga maykaya.,40,Ang Karapatan at Lakas,unspecified,Ngunit hinarang ng simbahan ang tunay na kaalaman: ipinagbawal ang mga Pilipino na mag-aral ng Kastila at iniukol lamang ito sa mga maykaya.
Education,Edukasyon,"Si Pilosopo Tasyo, na puno ng karunungan ngunit itinuturing na baliw, ay simbolo ng kaalamang hindi tinatanggap ng lipunan.",39,Si Donya Consolacion,Pilosopo Tasyo,"Si Pilosopo Tasyo, na puno ng karunungan ngunit itinuturing na baliw, ay simbolo ng kaalamang hindi tinatanggap ng lipunan."
Education,Edukasyon,"Maging si Ibarra, sa kabila ng pag-aaral sa Europa, ay nanatiling inosente sa katiwalian hanggang turuan siya ni Elías.",2,Crisostomo Ibarra,"Crisostomo Ibarra, Elías","Maging si Ibarra, sa kabila ng pag-aaral sa Europa, ay nanatiling inosente sa katiwalian hanggang turuan siya ni Elías."
Education,Edukasyon,"Ang edukasyon ay naging sagisag ng pag-asa at limitasyon: maaari itong mag-angat ng bayan, ngunit sa ilalim ng kolonyalismo, ito ay nanatiling kontrolado at pinilipit.",31,Ang Sermon,unspecified,"Ang edukasyon ay naging sagisag ng pag-asa at limitasyon: maaari itong mag-angat ng bayan, ngunit sa ilalim ng kolonyalismo, ito ay nanatiling kontrolado at pinilipit."
Family and Honor,Pamilya at Dangál,Ang ugnayan ng pamilya at dangal ang nagtutulak sa mga tauhan.,13,Ang Babala ng Sigwa,unspecified,Ang ugnayan ng pamilya at dangal ang nagtutulak sa mga tauhan.
Family and Honor,Pamilya at Dangál,Ipinagpatuloy ni Ibarra ang alaala ng kanyang ama sa pamamagitan ng pagtatayo ng paaralan.,25,Sa Bahay ni Pilosopo Tasyo,Crisostomo Ibarra,Ipinagpatuloy ni Ibarra ang alaala ng kanyang ama sa pamamagitan ng pagtatayo ng paaralan.
Family and Honor,Pamilya at Dangál,"Inialay ni María Clara ang kanyang pag-ibig para sa dangal ng kanyang ina, piniling manahimik tungkol sa lihim ni Padre Dámaso at nagkulong sa kumbento.",34,Ang Pananghalian,"María Clara, Padre Dámaso","Inialay ni María Clara ang kanyang pag-ibig para sa dangal ng kanyang ina, piniling manahimik tungkol sa lihim ni Padre Dámaso at nagkulong sa kumbento."
Family and Honor,Pamilya at Dangál,"Ang nakalipas na kasaysayan ng pamilya ni Elías, mula karangalan tungo sa pagkahiya, ang nagtulak sa kanya patungo sa paghihirap at paghihimagsik.",32,Ang Paghugos,Elías,"Ang nakalipas na kasaysayan ng pamilya ni Elías, mula karangalan tungo sa pagkahiya, ang nagtulak sa kanya patungo sa paghihirap at paghihimagsik."
Family and Honor,Pamilya at Dangál,Si Sisa naman ay sagisag ng pagiging inang handang magtiis ng sakit at kahihiyan para hanapin sina Crispin at Basilio.,16,Si Sisa,"Sisa, Crispin, Basilio",Si Sisa naman ay sagisag ng pagiging inang handang magtiis ng sakit at kahihiyan para hanapin sina Crispin at Basilio.
Family and Honor,Pamilya at Dangál,Ipinakita ni Rizal kung paanong ang dangal ng pamilya ay maaaring maging lakas ngunit isa ring pabigat na nagpapasya ng kapalaran ng bawat isa.,19,Mga Karanasan ng Isang Guro,Rizal,Ipinakita ni Rizal kung paanong ang dangal ng pamilya ay maaaring maging lakas ngunit isa ring pabigat na nagpapasya ng kapalaran ng bawat isa.
Sacrifice,Pag-aalay at Pagsasakripisyo,Laging lumilitaw ang sakripisyo bilang personal at pambansang tungkulin.,15,Ang mga Sakristan,unspecified,Laging lumilitaw ang sakripisyo bilang personal at pambansang tungkulin.
Sacrifice,Pag-aalay at Pagsasakripisyo,Itinuro ni Don Rafael sa kanyang anak na dapat magsakripisyo ngayon para sa bukas.,55,Ang Pagkakagulo,Don Rafael,Itinuro ni Don Rafael sa kanyang anak na dapat magsakripisyo ngayon para sa bukas.
Sacrifice,Pag-aalay at Pagsasakripisyo,"Nangahas si Ibarra na isugal ang buhay para sa bayan, habang si María Clara ay nagsakripisyo ng pag-ibig para sa dangal ng pamilya.",56,Mga Sabi-sabi at Pala-palagay,"Crisostomo Ibarra, María Clara","Nangahas si Ibarra na isugal ang buhay para sa bayan, habang si María Clara ay nagsakripisyo ng pag-ibig para sa dangal ng pamilya."
Sacrifice,Pag-aalay at Pagsasakripisyo,"Ang pinakamataas na halimbawa ay si Elías, na nag-alay ng kanyang buhay upang iligtas si Ibarra at ipamana kay Basilio ang pangarap ng kalayaan.",25,Sa Bahay ni Pilosopo Tasyo,"Crisostomo Ibarra, Elías, Basilio","Ang pinakamataas na halimbawa ay si Elías, na nag-alay ng kanyang buhay upang iligtas si Ibarra at ipamana kay Basilio ang pangarap ng kalayaan."
Sacrifice,Pag-aalay at Pagsasakripisyo,Ang kanyang huling mga salita—pagbati sa bukang-liwayway na hindi na niya masisilayan—ay simbolo ng mga sakripisyong iniaalay ng mga Pilipino para sa susunod na henerasyon.,14,Tasyo: Baliw o Pilosopo?,unspecified,Ang kanyang huling mga salita—pagbati sa bukang-liwayway na hindi na niya masisilayan—ay simbolo ng mga sakripisyong iniaalay ng mga Pilipino para sa susunod na henerasyon.
Privilege,Pribilehiyo,Ipinakita ang pribilehiyo bilang marupok sa ilalim ng kolonyalismo.,13,Ang Babala ng Sigwa,unspecified,Ipinakita ang pribilehiyo bilang marupok sa ilalim ng kolonyalismo.
Privilege,Pribilehiyo,"Si Ibarra, dahil sa kayamanan at lahing halo sa Kastila, ay protektado sa simula ngunit hindi nakikita ang katiwalian.",25,Sa Bahay ni Pilosopo Tasyo,Crisostomo Ibarra,"Si Ibarra, dahil sa kayamanan at lahing halo sa Kastila, ay protektado sa simula ngunit hindi nakikita ang katiwalian."
Privilege,Pribilehiyo,"Nang siya’y ipinatapon, doon lamang niya nasilayan ang tunay na mukha ng lipunan.",17,Si Basilio,unspecified,"Nang siya’y ipinatapon, doon lamang niya nasilayan ang tunay na mukha ng lipunan."
Privilege,Pribilehiyo,"Nawalan din ng yaman at dangal si Elías nang mabunyag ang nakaraan ng kanyang pamilya, na nagpapakita kung gaano kadaling mawala ang katayuan.",50,Mga Kamag-anak ni Elias,Elías,"Nawalan din ng yaman at dangal si Elías nang mabunyag ang nakaraan ng kanyang pamilya, na nagpapakita kung gaano kadaling mawala ang katayuan."
Privilege,Pribilehiyo,"Ang pribilehiyo ay naglalayo sa mga tao, ngunit maaari ring madaig sa pamamagitan ng pakikinig at malasakit.",53,Ang Mabuting Araw ay Nakikilala sa Umaga,unspecified,"Ang pribilehiyo ay naglalayo sa mga tao, ngunit maaari ring madaig sa pamamagitan ng pakikinig at malasakit."
Isolation,Pag-iisa,Ipinakita ang iba’t ibang anyo ng pag-iisa.,64,Katapusan,unspecified,Ipinakita ang iba’t ibang anyo ng pag-iisa.
Isolation,Pag-iisa,"Ang mga Pilipino ay hiwalay sa Espanya, kaya’t mas laganap ang katiwalian at napipilitang mag-aral sa ibang bansa ang maykaya.",56,Mga Sabi-sabi at Pala-palagay,unspecified,"Ang mga Pilipino ay hiwalay sa Espanya, kaya’t mas laganap ang katiwalian at napipilitang mag-aral sa ibang bansa ang maykaya."
Isolation,Pag-iisa,"Si Don Rafael, matapos kutyain ni Padre Dámaso, ay nahiwalay sa komunidad hanggang sa kanyang kamatayan.",64,Katapusan,"Don Rafael, Padre Dámaso","Si Don Rafael, matapos kutyain ni Padre Dámaso, ay nahiwalay sa komunidad hanggang sa kanyang kamatayan."
Isolation,Pag-iisa,"Si Pilosopo Tasyo, itinuring na baliw, ay nagkulong sa sarili, nagkaroon ng kalayaan ngunit nawala ang impluwensiya.",53,Ang Mabuting Araw ay Nakikilala sa Umaga,Pilosopo Tasyo,"Si Pilosopo Tasyo, itinuring na baliw, ay nagkulong sa sarili, nagkaroon ng kalayaan ngunit nawala ang impluwensiya."
Isolation,Pag-iisa,"Maging si Rizal mismo ay sumulat sa kanyang pagkatapon, na sumasalamin sa temang ito.",58,Ang Sinumpa,Rizal,"Maging si Rizal mismo ay sumulat sa kanyang pagkatapon, na sumasalamin sa temang ito."
Isolation,Pag-iisa,Ang pag-iisa ay nagdudulot ng pagdurusa ngunit nagbibigay rin ng malalim na pagninilay at paglaban.,60,Ang Kasal ni Maria Clara,unspecified,Ang pag-iisa ay nagdudulot ng pagdurusa ngunit nagbibigay rin ng malalim na pagninilay at paglaban.
Revenge,Paghihiganti,Ang paghihiganti ay inilalarawan bilang mapanira at walang saysay.,26,Ang Araw Bago ang Pista,unspecified,Ang paghihiganti ay inilalarawan bilang mapanira at walang saysay.
Revenge,Paghihiganti,Nais sanang ipaghiganti ni Ibarra ang kanyang ama laban kay Padre Dámaso ngunit pinili niya ang edukasyon at reporma.,25,Sa Bahay ni Pilosopo Tasyo,"Crisostomo Ibarra, Padre Dámaso",Nais sanang ipaghiganti ni Ibarra ang kanyang ama laban kay Padre Dámaso ngunit pinili niya ang edukasyon at reporma.
Revenge,Paghihiganti,Halos naghangad ng ganti si Elías laban sa pamilya ni Ibarra ngunit inialay ang sarili sa laban para sa katarungan.,63,Noche Buena,"Crisostomo Ibarra, Elías",Halos naghangad ng ganti si Elías laban sa pamilya ni Ibarra ngunit inialay ang sarili sa laban para sa katarungan.
Revenge,Paghihiganti,Si Társilo ay nagbuwis ng buhay sa paghihiganti para sa kanyang ama.,62,Ang Paliwanag ni Padre Damaso,Társilo,Si Társilo ay nagbuwis ng buhay sa paghihiganti para sa kanyang ama.
Revenge,Paghihiganti,Ang banggaan nina Padre Salví at ng alperes ay nagresulta sa kapahamakan ng inosenteng gaya nina Crispin at Basilio.,59,Pagmamahal sa Bayan,"Padre Salví, Crispin, Basilio",Ang banggaan nina Padre Salví at ng alperes ay nagresulta sa kapahamakan ng inosenteng gaya nina Crispin at Basilio.
Revenge,Paghihiganti,Pinapakita ni Rizal na ang paghihiganti ay nagpapatuloy lamang ng siklo ng paghihirap.,59,Pagmamahal sa Bayan,Rizal,Pinapakita ni Rizal na ang paghihiganti ay nagpapatuloy lamang ng siklo ng paghihirap.
Freedom and Patriotism,Kalayaan at Pagkamakabayan,Kalayaan ang pinapangarap nina Ibarra at Elías.,27,Sa Pagtatakipsilim,"Crisostomo Ibarra, Elías",Kalayaan ang pinapangarap nina Ibarra at Elías.
Freedom and Patriotism,Kalayaan at Pagkamakabayan,"Naniniwala si Ibarra sa edukasyon at unti-unting pagbabago, samantalang naniniwala si Elías na ang tanging paraan ay himagsikan.",38,Ang Prusisyon,"Crisostomo Ibarra, Elías","Naniniwala si Ibarra sa edukasyon at unti-unting pagbabago, samantalang naniniwala si Elías na ang tanging paraan ay himagsikan."
Freedom and Patriotism,Kalayaan at Pagkamakabayan,Ang kanilang magkaibang landas ay parehong nagsisilbi sa mithiin ng paglaya ng bayan.,23,Ang Piknik,unspecified,Ang kanilang magkaibang landas ay parehong nagsisilbi sa mithiin ng paglaya ng bayan.
Freedom and Patriotism,Kalayaan at Pagkamakabayan,"Ang pagkamatay ni Elías, na iniwan kay Basilio ang panawagan ng kalayaan, ay sagisag ng pagpasa ng adhikain sa susunod na henerasyon.",25,Sa Bahay ni Pilosopo Tasyo,"Elías, Basilio","Ang pagkamatay ni Elías, na iniwan kay Basilio ang panawagan ng kalayaan, ay sagisag ng pagpasa ng adhikain sa susunod na henerasyon."
Freedom and Patriotism,Kalayaan at Pagkamakabayan,Ang pagkamakabayan ay ipinakita bilang pagmamahal sa bayan at kahandaang magdusa para sa kinabukasan nito.,44,Pagsusuri ng Budhi,unspecified,Ang pagkamakabayan ay ipinakita bilang pagmamahal sa bayan at kahandaang magdusa para sa kinabukasan nito.
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Pag-akyat sa Lipunan,Ipinakita nina Kapitan Tiyago at Doña Victorina ang kolonyal na kaisipan na sumisira sa pagkakakilanlan ng Pilipino.,60,Ang Kasal ni Maria Clara,"Kapitan Tiyago, Doña Victorina",Ipinakita nina Kapitan Tiyago at Doña Victorina ang kolonyal na kaisipan na sumisira sa pagkakakilanlan ng Pilipino.
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Pag-akyat sa Lipunan,Nag-aalay ng kayamanan si Tiago sa mga prayle at nagpapakasipsip upang maging gobernadorcillo.,13,Ang Babala ng Sigwa,Kapitan Tiyago,Nag-aalay ng kayamanan si Tiago sa mga prayle at nagpapakasipsip upang maging gobernadorcillo.
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Pag-akyat sa Lipunan,"Itinatakwil ni Doña Victorina ang mga Pilipino, nagbabalatkayo bilang Kastila sa pamamagitan ng bihis at wika, at pinipilit ang asawang si Don Tiburcio na magpanggap bilang doktor.",63,Noche Buena,"Doña Victorina, Don Tiburcio","Itinatakwil ni Doña Victorina ang mga Pilipino, nagbabalatkayo bilang Kastila sa pamamagitan ng bihis at wika, at pinipilit ang asawang si Don Tiburcio na magpanggap bilang doktor."
Colonial Mentality and Social Climbing,Kolonyal na Kaisipan at Pag-akyat sa Lipunan,Ginamit ni Rizal ang satira upang ipakita kung paanong ang kolonyalismo ay nagdudulot ng hiya sa sariling pagkakakilanlan at labis na paghanga sa mananakop.,63,Noche Buena,Rizal,Ginamit ni Rizal ang satira upang ipakita kung paanong ang kolonyalismo ay nagdudulot ng hiya sa sariling pagkakakilanlan at labis na paghanga sa mananakop.
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Ang pag-ibig sa nobela ay kaugnay ng kadalisayan, sakripisyo, at trahedya.",6,Kapitan Tiago,unspecified,"Ang pag-ibig sa nobela ay kaugnay ng kadalisayan, sakripisyo, at trahedya."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Sagisag si María Clara ng katapatan, nanatiling tapat kay Ibarra sa kabila ng pamimilit na pakasal kay Linares.",62,Ang Paliwanag ni Padre Damaso,"María Clara, Crisostomo Ibarra, Linares","Sagisag si María Clara ng katapatan, nanatiling tapat kay Ibarra sa kabila ng pamimilit na pakasal kay Linares."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Kahit napilitang pumasok sa kumbento, nanatili ang kanyang debosyon, ngunit naging trahedya ang kanyang kapalaran sa kamay ni Padre Salví.",55,Ang Pagkakagulo,Padre Salví,"Kahit napilitang pumasok sa kumbento, nanatili ang kanyang debosyon, ngunit naging trahedya ang kanyang kapalaran sa kamay ni Padre Salví."
"Love, Purity, and Faithfulness","Pag-ibig, Kadalisayan, at Katapatan","Ang pag-iibigan nila ni Ibarra ay sumasalamin sa pakikibaka ng bayan: isang dalisay na pangarap na winasak ng kolonyalismo, kasakiman, at pagkukunwari.",1,Ang Pagtitipon,Crisostomo Ibarra,"Ang pag-iibigan nila ni Ibarra ay sumasalamin sa pakikibaka ng bayan: isang dalisay na pangarap na winasak ng kolonyalismo, kasakiman, at pagkukunwari."
Self-Sacrifice and Martyrdom,Pag-aalay ng Buhay at Pagkamartir,Lumilitaw ang pagkamartir sa maraming tauhan.,2,Crisostomo Ibarra,unspecified,Lumilitaw ang pagkamartir sa maraming tauhan.
Self-Sacrifice and Martyrdom,Pag-aalay ng Buhay at Pagkamartir,"Si Sisa ay nagtiis ng sakit at kahirapan para sa kanyang mga anak, hanggang mawalan ng katinuan.",22,Ang Liwanag at Dilim,Sisa,"Si Sisa ay nagtiis ng sakit at kahirapan para sa kanyang mga anak, hanggang mawalan ng katinuan."
Self-Sacrifice and Martyrdom,Pag-aalay ng Buhay at Pagkamartir,"Paulit-ulit na inialay ni Elías ang kanyang sarili para kay Ibarra, hanggang sa wakas ay mamatay bilang kapalit niya.",32,Ang Paghugos,"Elías, Crisostomo Ibarra","Paulit-ulit na inialay ni Elías ang kanyang sarili para kay Ibarra, hanggang sa wakas ay mamatay bilang kapalit niya."
Self-Sacrifice and Martyrdom,Pag-aalay ng Buhay at Pagkamartir,Maging ang maliliit na tauhan gaya ng mga kabataang rebelde ay handang mamatay para sa dangal at katarungan.,46,Ang Sabungan,unspecified,Maging ang maliliit na tauhan gaya ng mga kabataang rebelde ay handang mamatay para sa dangal at katarungan.
Self-Sacrifice and Martyrdom,Pag-aalay ng Buhay at Pagkamartir,"Inilalarawan ni Rizal na ang sakripisyo ang binhi ng kalayaan, na nagbabadya sa mga bayani’t martir ng hinaharap.",49,Ang Hinaing ng mga Inuusig,Rizal,"Inilalarawan ni Rizal na ang sakripisyo ang binhi ng kalayaan, na nagbabadya sa mga bayani’t martir ng hinaharap."
Respect,Paggalang,Madalas ginagamit at pinipilipit ang paggalang sa ilalim ng kolonyalismo.,63,Noche Buena,unspecified,Madalas ginagamit at pinipilipit ang paggalang sa ilalim ng kolonyalismo.
Respect,Paggalang,Ipinakita ni Ibarra ang kanyang dignidad nang hindi siya sumagot sa pang-iinsulto ni Padre Dámaso sa handaan.,25,Sa Bahay ni Pilosopo Tasyo,"Crisostomo Ibarra, Padre Dámaso",Ipinakita ni Ibarra ang kanyang dignidad nang hindi siya sumagot sa pang-iinsulto ni Padre Dámaso sa handaan.
Respect,Paggalang,"Ang tunay na paggalang ay bunga ng dangal at pagpipigil, ngunit ang huwad na paggalang ay inaangkin ng mga prayleng mapang-abuso.",18,Mga Kaluluwang Nagdurusa,unspecified,"Ang tunay na paggalang ay bunga ng dangal at pagpipigil, ngunit ang huwad na paggalang ay inaangkin ng mga prayleng mapang-abuso."
Respect,Paggalang,Ipinakita ni Rizal ang kaibahan ng paggalang na kusang-loob at ng paggalang na idinidikta ng takot.,7,Ligawan sa Asotea,Rizal,"Ipinakita ni Rizal ang kaibahan ng paggalang na kusang-loob at ng paggalang na idinidikta ng takot.,
Gambling Addiction,Pagkaadik sa Sugal,Si Pedro",asawa ni Sisa at ama nina Crispin at Basilio,"ay sagisag ng pagkaadik sa sabong at ang mapanirang epekto nito.""",16,Si Sisa,"Pedro, Sisa, Crispin, Basilio","Si Pedro, asawa ni Sisa at ama nina Crispin at Basilio, ay sagisag ng pagkaadik sa sabong at ang mapanirang epekto nito."
Gambling Addiction,Pagkaadik sa Sugal,"Dahil sa kanyang bisyo, napabayaan niya ang pamilya at lalo silang nabaon sa kahirapan.",5,Ang Liwanag sa Gabing Madilim,unspecified,"Dahil sa kanyang bisyo, napabayaan niya ang pamilya at lalo silang nabaon sa kahirapan."
Gambling Addiction,Pagkaadik sa Sugal,Ginamit siya ni Rizal upang punahin ang mga bisyong nagpapahirap sa mahihirap at nagpapakita ng pagkabulok ng lipunan.,38,Ang Prusisyon,Rizal,Ginamit siya ni Rizal upang punahin ang mga bisyong nagpapahirap sa mahihirap at nagpapakita ng pagkabulok ng lipunan.
Gambling Addiction,Pagkaadik sa Sugal,Ang pagsusugal ay naging simbolo ng personal na kahinaan at ng mas malawak na siklo ng pagsasamantala sa ilalim ng kolonyal na sistema.,38,Ang Prusisyon,unspecified,Ang pagsusugal ay naging simbolo ng personal na kahinaan at ng mas malawak na siklo ng pagsasamantala sa ilalim ng kolonyal na sistema.
