theme_tagalog,corpus_sentence_id,corpus_sentence_text,reason
Pagkamapagpatuloy,7434,"Datapwat hindi ako pinakingan ng Alkalde, at sinabi sa aking pag-uusapan na raw namin ang mga bagay na ito pagka tapos ng mga fiesta.",This scene vividly encapsulates the underlying tensions of the theme within the narrative flow.
Pagkamapagpatuloy,7440,"Payapa, ngunit malulugdin sa mga panooring nauukol sa mga pagbabaka at sa mga labanang sumasabog ang dugo, ibig ang pagkakapantay-pantay, datapwat sumasamba sa mga emperador, sa mga hari at sa mga prinsipe; hindi mapagpitagan sa relihiyon, ngunit iniwawaldas ang pamumuhay sa mga walang kabuluhang pag paparangalan sa mga fiesta; ang mga babae rito sa atin ay may kaugaliang matimyas, ngunit nangahahaling pagka nakakakita ng isang princesang nagpapa-ikit ng sibat ...",Showcases the character interactions that perfectly define this specific thematic element.
Pagkamapagpatuloy,7511,"Sa kagalingang palad ng mga moro, na nangagsisipaghanda na sa labanang tinutugtugan ng ""himno de Riego"", ay siyang pagkakaroon ng isang gulo.",A powerful moment highlighting the profound societal impact of this thematic struggle.
Pagkamapagpatuloy,7585,"Marahil ay ang Corresponsal ng peryodiko, na winakasan ang pagsaysay ng fiesta at ng lahat ng mga nangyari sa ganitong paraan:",Demonstrates the intricate dynamics and emotional weight tied to this particular theme.
Pagkamapagpatuloy,2861,"ang ipinaalaala ni tia Isabel;—bukod sa roo'y lalong mabuti ang bahay natin doon, at saka malapit na ang fiesta.","Highlights the pervasive, undeniable presence of this issue within the colonial setting."
Relihiyon,7411,"Nanghihinamad na napaiimbulog at nagnining sa madilim na langit ang ilang globong papel, na ipinaitaas sa pamamagitan ng aso at ng hanging pinainit.",Details the performative and heavily institutionalized aspects of colonial religious ceremonies.
Relihiyon,7422,"Mga pagpaparoo't parito, mga sigawan, mga ingayan sa pagtataka, mga halakhakan, isang huli na sa panahong ""buskapie"", isang ""reventador"" ang siyang nangagdaragdag ng kaingayan.",Shows how the friars manipulate the concept of God and salvation to maintain absolute social control.
Relihiyon,7432,Tinatanggap ng kahi't hari man ang kanyang mga lakas sa bayan at tinatanggap naman ng bayan sa Diyos ang kanyang lakas.,A critical look at the transactional nature of the church where faith is monetized through indulgences and masses.
Relihiyon,7446,Kasama rin naman ng kura ang ilang mga mamamayang ang hanap-buhay umalakbay tuwina sa mga prayle.,"Captures the deep, sometimes misguided, devotion of the natives intertwined with systemic church dominance."
Relihiyon,7450,"May mga mata at may pakinig ang lahat ng na sa escenario, liban lamang sa isa: si pari Salvi.",Highlights the stark contrast between true spiritual faith and the corrupt practices of the organized colonial church.
Kapangyarihan at Kawalang-Katarungan,7469,"Kailan man po'y nananagot ako, padre, sa lahat ng mga gawang bukal sa aking sariling kalooban,—ang isinagot ni don Filipo na yumuko ng kaunti;—datapwat hindi binibigyang pahintulot ako ng aking maliit na kapangyarihang makialam sa mga bagay na nauukol sa relihiyon.",A brutal demonstration of unchecked civil or religious authority executing unjust punishments on the defenseless.
Kapangyarihan at Kawalang-Katarungan,7503,Sa pagka't nagsuntukan ang alferez at ang ginoong babae ay hindi sila makatulog.,Showcases how those in power manipulate the law entirely to serve their own vindictive ends.
Kapangyarihan at Kawalang-Katarungan,7504,"Sabihin po ninyo sa alferez, na binigyan kami ng kapahintulutan ng Alkalde Mayor, at ""wala sino man"" sa bayang may kapangyarihan sumalangsang sa kapahintulutang ito, kahi't ang gobernadorsilyo man, na siyang tangi kong mataas na puno.",Highlights the absolute lack of recourse for ordinary citizens facing the wrath of the alferez or the friars.
Kapangyarihan at Kawalang-Katarungan,7528,Umulan ang mga bato sa pulutong ng mga kwadrilyerong naghahatid sa dalawang gwardya sibil; may isang nagyayakag na silabin ang kwartel at iihaw roon si doña Consolaciong kasama ang alferez.,"Exposes the raw, physical violence used by the ruling class to enforce their unjust dominion."
Kapangyarihan at Kawalang-Katarungan,15416,Kailangan na magkaroon ng isa upang maligtas ang karangalan ng kapangyarihan at huwag masabing tayo’y nag-ingay nang katakot-takot ng wala namang sanhi.,A scene that perfectly encapsulates the theme of power deployed without a shred of moral justice.
Edukasyon,15423,"Maipahintulot po sa akin ng inyong Karilagan—ang sabi ng mataas na kawani na nagkataong kaharap;—ngunit may nagsabi sa akin na ang binatang iyan ay nag-aaral sa Medicina, ang kaniyang mga guro’y mabuti ang sinasabing ukol sa kanya.... kung magpapatuloy sa pagkabilanggo ay masasayangan ng isang taon, at sa dahilang sa taong ito magtatapos....",Exposes the dire lack of proper academic resources and the intense struggles of students attempting to learn.
Edukasyon,7048,"anang Gobernador General na naupo at tuloy itinuro sa kanya ang isang upuan;—bayaan ninyong ako'y magtamo ng sandaling pagbubukas ng puso; totoong malaki ang aking pagkalugod sa inyong kaasalan; kaya nga't kayo'y inihingi ko na sa Gobyerno ng Hari ng isang ganting palang dangal (kondekorasyon), dahil sa kaisipan ninyong pagkakaawang gawang pagtatayo ng isang paaralan ...","Highlights the friction between progressive native students and the regressive, dogmatic teaching methods of the friars."
Edukasyon,14869,"ang sabi,—ngunit huwag ninyong ipalagay na ako’y inyong guro; ako’y isang prayle at kayo’y isang nag-aaral na pilipino; walang labis, walang kulang!",Focuses directly on the university setting as a battlefield for intellectual freedom.
Edukasyon,14981,"ang patuloy ni Isagani na iba na ang ayos, makaraan ang isang sandaling pananahimik—huwag tayong pumasok ngayon sa pagsuri ng kadahilanan, sapagka’t mapapalayo tayo sa pinag-uusapan; ngunit kayo Padre Fernandez, kayo, guro, kayo, taong may karunungan, ibig ninyo ang isang bayan ng mga manananim, ng mga magsasaka!",Demonstrates how education is deliberately restricted to prevent the native population from awakening.
Edukasyon,14984,"Hindi, ibig kong ang karunungan ay taglayin noong dapat magtaglay, noong makapag-iingat sa kaniya,—ang sagot,—kapag nagpakita ang mga nag-aaral ng katibayan ng pag-ibig sa kaniya; kapag nagkaroon na ng mga binatang may pananalig, mga binatang marunong magtanggol sa kaniyang karangalan at maipagalang ito, ay magkakaroon ng karunungan, magkakaroon na ng mga gurong may paglingap!",A scene showing the burning desire of the youth for genuine learning despite the oppressive curriculum.
Pamilya at Dangal,7414,"Sinusuhan din naman ang maraming mga ""rueda"", mga ""kastilyo"", mga toro o mga kalabaw na apoy, at isang malaking volkang sa ganda at kadakilaa'y linaluan ang kalahatlahatang nakita hanggang sa panahong iyon ng mga taga San Diego.",Focuses on the deep emotional bonds and the intense pressure to maintain family honor against societal ruin.
Pamilya at Dangal,7420,"Ang kaginoohan sa bayan, ang mga kastila at ang mga mayayamang dayo'y nangagsisiupo na sa nahahanay na mga silya.",A tragic scene detailing how the sins or downfalls of the parents brutally affect the honor of the children.
Pamilya at Dangal,7421,"Ang bayan, ang mga taong walang katungkulan at walang mga dangal na kaloob ng pamahalaa'y siyang nakalalaganap sa nangatitirang lugar sa plaza; may pas-ang bangko ang mga iba, na ang karaniwa'y hindi ng upuan kung di ng bigyang kagamutan ang pagka pandak: pinanggagalingan ang ganitong gawa ng maiingay na mga pagtutol ng mga walang bangko; pagkakagayo'y nangagsisipanaog agad-agad ang mga nakatayo sa bangko; ngunit hindi nalalao't sila'y muling pumapanhik, na parang walang ano mang nangyari.",Showcases the extreme lengths a character will go to protect the family name from colonial disgrace.
Pamilya at Dangal,7423,"Sa dako rito'y may nababaling paa ng isang bangko at nangahuhulog sa lupa, sa gitna ng tawanan ng karamihan, ang mga taong nanggaling sa malayo at ng makapanood ay ngayo'y siyang nagiging panoorin; sa dako roo'y nangag-aaway sa pagpapangagaw sa lugar; sa dakong malayo pa roo'y may nariringig na isang kalampagan ng nababasag na mga kopa at mga bote: yao'y si Andeng na may dalang mga alak at mga pangpatid uhaw; maingat na tangan ng dalawang kamay ang malapad na bandeja, ngunit kanyang nakasalubong ang sa kanya'y nangingibig, na nag-akalang magsamantala ng gayong kalagayan ...",Highlights the pain of seeing a family destroyed by external oppressive forces.
Pamilya at Dangal,7424,"Nangungulo sa pamamanihala at kahusayan ng panoorin ang teniente mayor na si don Filipo; sa pagka't malulugdin sa ""monte"" ang gobernadorsilyo.","A poignant reflection on ancestral pride, familial duty, and the devastating loss of personal honor."
Pag-aalay at Pagsasakripisyo,7452,"Ngunit hindi nangagsasaysay ng pagliyag ang mga mata ng franciskano, na lubhang natatago sa malalim na hungkag na kinalalagyan ng kanyang mga paningin; nababasa sa mga titig na iyon ang isang bagay na kahapisang may malaking pagngingitngit: ¡gayon marahil ang mga mata ni Kain sa panonood, buhat sa malayo, ng Paraiso, ng mga kaligayahan, doo'y ipinakilala sa kanya ng kanyang ina!","Provides a profound example of ultimate self-sacrifice, offering one's life or happiness for a greater cause."
Pag-aalay at Pagsasakripisyo,7461,"Kasama namin ang kura, at sinasaysay sa amin ang mga naging buhay ng mga napakasama; ¿nakita mo na?",Highlights the agonizing choices made by characters willing to lose everything to protect others.
Pag-aalay at Pagsasakripisyo,7474,"Daramdamin kong totoo, datapwat hindi ako makapagpapalayas dito sa kanino man.",A tragic declaration emphasizing that genuine love for the country requires immense personal bloodshed.
Pag-aalay at Pagsasakripisyo,7551,"ang itinanong ng binata, na natitigagal, datapwat malayo na ang teniente mayor.","Shows the quiet, heartbreaking sacrifices made purely out of duty to family or homeland."
Pag-aalay at Pagsasakripisyo,7558,"Naringig ang masilakbong pagmamatuwiran, mabilis na tutulan; pagkatapos ay untiunting nagpasimula ng paghihiwahiwalay ng mga magkakapulutong, at naalis sa bawa't isa ang anyong may gagawing kaguluhan.",Exemplifies the theme by placing self-destruction squarely in the path of securing national or familial liberation.
Pribilehiyo,7419,"Sa harap ng escenario (palabasan) ay pinagtotonotono ng orkesta ang kanilang mga instrumento, ipinariringig ang mga pangunahin ng mga tugtugin; sa likuran ng orkesta'y naroroon ang lugar na sinasabi ng korresponsal sa kanyang sulat.",Directly showcases the untouchable status of the ruling colonial figures like the alferez or kapitan.
Pribilehiyo,7445,Sumusunod sa kanila ang kurang may kasamang isa pang franciskano't ilang mga kastila.,Demonstrates how wealth and title allow individuals to bypass local laws completely.
Pribilehiyo,7453,"Nagtatapos na ang ""akto"" (bahagi) ng pumasok si Ibarra; pinanggalingan ang pagdating niya roon ng isang bulungbulungan: siya at ang kura ang siyang pinagtiningan ng pagpansin ng lahat.",A clear depiction of the social hierarchy where friars and elites demand immediate subservience.
Pribilehiyo,7463,"Nagtindig ang kura at lumapit kay don Filipo, na tila mandin kanyang pinakipagtalunan ng masilakbo.",Highlights the stark contrast between the pampered lives of the Donyas and the suffering of the natives.
Pribilehiyo,7464,"Mainit ang pananalita ng kura, mahinusay naman at mahina ang pananalita ni don Filipo.",Exposes how colonial privilege is used as a weapon to assert dominance over lower classes.
Pag-iisa,7439,"hindi ko kinakailangan ang sino man sa pananaginip at sa paggawa ng mga kaululan, sukat na akong mag-isa,—ang isinagot ng pilosopong kalakip ang isang tawang palibak;—datapwat ngayo'y naalaala ko, ¿hindi ba tinatawag ang inyong paglilining ng kaugalia't hilig ng ating bayan?",Paints a heartbreaking picture of profound solitude and abandonment perfectly defining the theme.
Pag-iisa,2886,"Kayo ang magsabi't may bango kayo sa inyong hininga at may mga kulay kayo sa inyong mga labi; ikaw, ""cefiro"" ang magsabi yamang nag-aral ka ng di karaniwang mga tinig sa lihim ng gabing madilim at sa talinghaga ng aming mga kagubatang virgen; sabihin ninyo, mga sinag ng araw, maningning na tagapagpakilala sa lupa ng Walang Hanggan, tanging hindi nahahawakan sa daigdig ng mga natatangnan: kayo ang mangagsabi, sa pagka't wala akong nalalamang isaysay kung di mga kahalingang hindi mainam dinggin.",Captures the deep emotional isolation of a native character separated from society or family.
Pag-iisa,2899,"Natatandaan mo ba ang gabing yaon, ang gabing yaong sumisigwa, na ikaw, ng makita mo akong nag-iisang tumatangis sa siping ng bangkay ng aking ina'y lumapit ka sa akin, ilinagay mo ang iyong kamay sa aking balikat, ang kamay mong malaon nang ayaw mong ipahintulot na aking matangnan, at iyong sinabi sa akin: ""Nangulila ka sa iyong ina, ako'y hindi nagkaina kailan man.",Focuses on the physical and psychological loneliness of confinement or exile in the narrative.
Pag-iisa,2907,"Sa mga panagimpan ko'y nakikita ko ikaw na nakatindig sa tabing dagat ng Maynila, nakatanaw sa malayong abot ng paninging nababalot sa malamlam na liwanag ng maagang pagbubukang liwayway; aking naririnig ang isang aaying-aying at malungkot na awit na sa aki'y pumupukaw ng nagugulaylay ng mga damdamin, at tinatawag ko sa alaala ng aking puso ang mga unang taon ng aking kamusmusan, ang ating mga katuwaan, ang ating mga paglalaro, ang buong nakaraang maligayang panahong binigyan mong kasayahan, samantalang doroon ka sa bayan.",A tragic moment where the character is left utterly alone to face the harsh realities of colonial life.
Pag-iisa,2911,"Kung minsa'y naliligaw ako sa mga landas ng mga kabundukan, at ang gabing doo'y untiunti ang pagdating ay nararatnan akong naglakad pa't hinahanap ko ang aking daan sa gitna ng mga ""pino,"" ng mga ""haya"" at ang mga ""encina""; kung nagkakagayon, kung nakalulusot ang ilang mga sinag ng buwan sa mga puang ng masinsing mga sanga, wari'y nakikinikinita ko ikaw sa sinapupunan ng gubat, tulad sa isang nagpapagalagalang aninong gagalawgalaw at nagpapakabikabila sa liwanag at sa mga kariliman ng malagong kaparangan, at saka ipinaririnig ng ""ruiseñor"" ang kanyang iba't ibang kawiliwiling huni, inaakala kong dahil sa ikaw ay nakikita't ikaw ang siyang sa kanya'y nakaaakit.",Evokes a strong sense of despair as the character confronts the wilderness or society's absolute rejection.
Paghihiganti,2883,"Sa mga sandaling yaon, pagka nagkakawatasan ang dalawang linikhang sumasaligaya sa kilos ng mga balintataong natatabingan ng mga pilik-matang pinaglalampasanan ng pag-iisip, ang pananalita'y mabagal, magaspang, mahina, wangis sa ugong ng kulog na nangangalagkag at walang tuos kung isusumag sa nakasisilaw na liwanag at mabilis ng kidlat: nagsasaysay ng isang damdaming kilala na, isang isipang napag-uunawa, na, at kaya lamang ginagamit ito'y sa pagka't ang mithi ng puso'y siyang nakapangyayari sa buong katauhang saganang sagana sa galak, ibig na ang buong katawan niyang kasama ang lahat ng sankap na laman, buto at dugo at ang buong kaisipan ay magsaysay ng hiwagang mga katuwaang inaawit ng espiritu.",Directly states the chilling intent to return bloodshed for bloodshed in response to unpunished crimes.
Paghihiganti,10875,"Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kalipon, at dapat nga namang magkagayon, sapagka’t tignan nga naman ninyo: magkalipon doon ang tatlong prayleng nananalig na ang buong mundo’y lalakad ng patiwarik sa araw na sila’y lumakad ng matuwid; isang walang pagal na Don Custodio na payapang natutulog, na siyangsiya ang loob sa kaniyang mga munakala; isang walang pagod na manunulat na gaya ni Ben-Zayb (katimbang ng Ibañez) na nag-aakalang kung kaya’t may nag-iisip sa Maynila ay sa dahilang siya’y nag-iisip; isang kanonigo na gaya ni Padre Irene na nagbibigay dangal sa mga pari dahil sa mabuti ang pagkakaahit ng kaniyang mukhang kinatatayuan ng isang ilong hudio at dahil sa kaniyang sotanang sutla na mainam ang tabas at maraming botones; at isang mayamang mag-aalahas na gaya ni Simoun na siya manding tanungan at nag-uudyok sa mga galaw ng Kapitan General; akalain nga ba namang magkatatagpo ang mga haliging ito na sine quibus non ng bayan, magkapipisan doon at maligayang nag-uusap, na hindi nabibighaning malugod sa isang tumakwil sa pagkapilipina, na nagpapula ng buhok, ¡bagay ng sukat makabugnot sa isang Joba!","Captures the absolute breakdown of justice, leaving violent revenge as the only perceived solution."
Paghihiganti,10912,"Ang mga binabakod ay sindak na nagtinginan, ngunit, gaya ng katalasan ng isang general, dumulog ang mag-aalahas na si Simoun:",Highlights the plotting of a deadly retaliation against the oppressive colonial authorities.
Paghihiganti,10926,"Isang munakalang yankee—ani Ben-Zayb, na ibig kalugdan ni Simoun—Ang mag-aalahas ay malaong naninirahan sa Amerika, sa Hilaga.",A moment where the thirst for vengeance fully consumes the character's moral boundaries.
Paghihiganti,10930,"Patawarin ako ni Ginoong Simoun, na aking kagalanggalang na kaibigan, kung sabihin kong hindi niya ako kasang-ayon; maraming salapi ang magugugol at marahil ay sisira tayo ng mga bayanan.","Demonstrates the extreme, violent lengths individuals are pushed to when systemic justice totally fails them."
Kalayaan at Pagmamahal sa Bayan,7415,"Ngayo'y tumutungo ang karamihang mga tao sa dakong plaza ng bayan, upang panoorin ang huling palalabasin sa teatro.",A deeply patriotic expression of unbreakable loyalty to the Philippine homeland despite its suffering.
Kalayaan at Pagmamahal sa Bayan,7467,Iya'y isang pagpapabayang makapasok ang isang lobo sa kawan ng mga mababait na tupa.,"Highlights the raw, emotional yearning for national liberty and the rejection of foreign chains."
Kalayaan at Pagmamahal sa Bayan,7510,"Ng matapos na ang bahaging iyon ng zarzuela na totoong pinagpurihanan, lumabas naman ang Principe Villardo, at hinahamon ng away ang lahat ng mga morong pumipiit sa kanyang ama; pinagbabalaan sila ng bayaning puputlan silang lahat ng ulo, at ang mga ulong ito'y ipadadala sa buwan.","Demonstrates the profound, foundational love for the native soil that inspires revolutionary thought."
Kalayaan at Pagmamahal sa Bayan,7530,ang sigaw ng isang babaeng naglililis ng kanyang mangas at iniunat ang kanyang mga bisig;—panggugulo ng bayan!,"A beautiful, defiant recognition that the ultimate loyalty belongs to the motherland above all else."
Kalayaan at Pagmamahal sa Bayan,7535,Punongpuno ang escenario ng mga artista at ng mga taong bayan.,"Encapsulates the driving force of the novels: the eternal, passionate cry for true freedom and national identity."
Kolonyal na Kaisipan at Paghahangad Umasenso,15454,"Ang Ministrong naghalal sa akin, ay ang diablo lamang ang nakaaalam kung saan na naroroon, at aariin na niyang malaking karangalan ang ako’y kaniyang mabati sa aking pagbalik!",Illustrates the pathetic obsession with European titles and the desperate desire to climb the colonial social ladder.
Kolonyal na Kaisipan at Paghahangad Umasenso,15481,"Oh huwag iayos ng inyong karangalan ang mga ganiyang anyo, sapagka’t ang pagkaparito ko, na gayon o ganito ang katungkulan, ay hindi ang pagtakwil ko na sa aking mga karapatan ang ibig sabihin at manira na lamang ako sa pagiging alipin, na walang bibig ni karangalan!",Showcases a character artificially mimicking Spanish behaviors to mask their native origins for prestige.
Kolonyal na Kaisipan at Paghahangad Umasenso,15484,"Ako ma’y kastila rin, ngunit bago ang aking pagkakastila ay naroroon ang aking pagkatao at bago ang España at sa ibabaw ng España ay naroroon ang kaniyang karangalan, naroroon ang matataas na turo ng magandang aral, ang mga walang lipas na batayan ng di mababaling katwiran.",Highlights the delusional pursuit of foreign honors over authentic local dignity.
Kolonyal na Kaisipan at Paghahangad Umasenso,15486,"namamangha kayo na ako’y mag-isip ng gayon, sapagka’t hindi ninyo nauunawa ang kalakhan ng pangalang kastila, hindi ninyo kilala, hindi; ikinakapit ninyo sa mga tao, sa mga pag-aari; sa ganang inyo, ang kastila, ay mangyayaring maging mangdadambong, mangyayaring maging mamamatay, mapagbalatkayo, bulaan, lahat na, matanganan lamang ang kaniyang inaari; sa ganang akin, ang kastila, ay dapat na iwan ang lahat, ang sakop, ang kapangyarihan, ang kayamanan, ang lahat na, lahat bago ang karangalan!",Demonstrates how social climbing under colonial rule requires abandoning one's true identity.
Kolonyal na Kaisipan at Paghahangad Umasenso,2891,"Nang magpasimula'y wala silang pinagsalitaanan kung di pawang mga kahalingan—iyang mga kahalingang totoong nakakawangis niyang mga kayabangan ng mga nasyon sa Europa: masasarap at lasang pulot sa mga magkakanasyon, datapwat nakapagtatawa o nakapagpapakunot sa kilay ng mga taga ibang lupain.",A satirical look at the vanity of characters striving for empty Spanish prestige at the cost of their homeland.
"Pag-ibig, Kadalisayan, at Katapatan",7454,"Datapwat parang hindi nahiwatigan ng binata ang bagay na iyon, sa pagka't bumati siya ng walang kimi kay Maria Clara at sa kanyang mga kaibigang babae, at naupo sa tabi ng kanyang kasintahan.","A tender, pure scene showcasing the romantic ideals and steadfast loyalty between lovers amidst chaos."
"Pag-ibig, Kadalisayan, at Katapatan",15409,"ang bulalas ni Ben-Zayb na nagwaring mahabagin,—gayong kasaya, gayong kabuting puso!",Highlights the tragic purity of a relationship destroyed by the corrupt forces of the colonial state.
"Pag-ibig, Kadalisayan, at Katapatan",2851,"Ang dahil ng mga bagay na ito'y hindi ko sasabihin; kung ikaw na bumabasa'y umibig ay mapagkikilala mo, at kung hindi naman ay sayang na sa iyo'y aking sabihin; hindi mapag-uunawa ang mga talinghagang ito ng hindi na kasisinta kailan man.","Demonstrates unyielding faith and devotion to a loved one, reinforcing the theme of pure affection."
"Pag-ibig, Kadalisayan, at Katapatan",2870,"Narinig ang boses, yaong boses na pinakasisinta't sa panag-inip lamang niya naririnig: ipinagtatanong siya ni Ibarra.","Shows the stark contrast between genuine, faithful love and the cynical, corrupt world surrounding it."
"Pag-ibig, Kadalisayan, at Katapatan",2884,"Sa tanong ng pagsinta sa isang sulyap na numiningning o lumalamlam, walang mga sagot ang salita: tumutugon ang ngiti, ang halik o ang buntong hininga.","A poignant moment of romantic sacrifice, proving the enduring nature of true, pure love."
Katiwalian,10955,Ang kapanahunang iyon ay malayo na;—ang sagot ni Simoun na ang tawa’y lalo pa manding matigas kay sa karaniwan—ang mga pulong ito’y hindi muling maghihimagsik ng dahil sa mga gawain at buwis......,A glaring example of civil officials explicitly using bribery or extortion for personal gain.
